C38-A_2	C38-B_2	C38-C_2	C38-D_2	C38-E_2	C38-F_3	C38-G_2	C38-H_2	C38-I_2	C38-J-N1_1	C38-J-N2_2	C38-K_2	C38-L_1
373	2030	595	842	4182	0	432	255	941	808	1520	547	1028
1137	5458	3165	4009	7071	66	1364	1043	4203	3034	5581	2393	4472
4970	9033	9140	11049	9228	90	3586	3152	9630	8988	14491	4255	4089
11251	9952	7181	14348	1336	99	2183	2151	7255	5983	8169	3713	3038
13375	2980	2297	5251	0	96	321	384	1166	974	1275	2199	343
5146	144	287	1236	0	91	0	52	73	0	0	80	0
1088	0	99	285	0	191	0	71	127	68	0	53	74
265	130	140	154	0	479	63	70	194	178	70	127	0
153	226	166	93	54	980	90	94	339	321	151	150	0
209	422	237	173	91	2216	147	107	573	376	310	260	97
339	876	504	209	115	4702	215	162	1230	489	573	488	163
511	1371	829	304	239	6921	332	275	1783	631	919	734	232
738	1684	1070	501	444	6693	409	315	1939	739	1125	782	322
752	1476	821	545	603	4546	451	375	1433	675	1074	712	388
