C38-A_2	C38-B_2	C38-C_1	C38-D_2	C38-E_2	C38-F_2	C38-G_1	C38-H_1	C38-I_2	C38-J-N1_1	C38-J-N2_2	C38-K_1
3962	7343	7455	2060	2755	57	1187	1601	126	706	1591	618
7715	11593	7649	5475	9789	423	4398	6715	4178	4433	9522	4733
7918	9149	1718	6609	5722	2666	3314	2922	8297	6953	2610	8832
7167	2971	2155	6471	3519	5175	2778	2392	4947	4134	3908	2949
2056	1621	1714	2731	827	4948	1430	1397	2610	2700	3265	1616
118	235	331	306	0	1253	106	135	377	184	458	162
85	199	80	0	0	657	153	165	338	205	146	186
143	418	113	0	84	1214	187	266	479	143	148	372
163	553	177	134	69	1680	203	358	542	192	209	496
203	586	172	136	98	1922	216	400	624	249	285	557
162	442	119	165	68	1400	141	299	473	169	200	375
87	169	56	105	0	590	72	131	210	75	77	150
