C46-A_1	C46-B_3	C46-C_1	C46-D_2	C46-E-T1_3	C46-G_1	C46-H_1	C46-I_3	C46-J_2
1938	2950	1880	1553	1573	2133	185	476	2314
4162	5780	3414	3232	2989	3901	416	769	4476
9035	11307	7490	6254	6488	7604	741	1302	9276
12743	15398	10659	9073	9040	9823	913	1636	12902
13760	15592	11407	9956	9427	9278	939	1605	13561
9937	10998	8843	7826	7504	6505	642	1176	10107
5319	5355	4946	4348	3956	2415	308	540	4756
2188	2064	2178	1625	1627	1380	137	260	1962
1975	2212	1573	1207	1296	1615	120	172	1813
2784	2662	2018	1474	1472	1642	107	242	2296
2287	2259	1679	1398	1178	1366	97	198	1717
1314	1126	1049	885	759	753	52	118	945
