C51-A_3	C51-B_1	C51-C--firstR-_3	C51-C--macro-_1	C51-D_1	C51-E_2	C51-F_1	C51-G_1	C51-H_1
1232	1909	1019	360	717	960	2317	896	1591
3754	4874	3053	1257	2096	2521	5216	2128	3941
6086	7034	5344	2237	3538	3683	6864	3113	5650
6479	5889	6020	2571	3812	3530	5563	2984	5665
4137	1928	3827	1767	2310	1930	1760	1494	3025
1090	463	966	440	607	422	508	332	766
280	666	244	0	154	216	692	140	378
279	1135	200	0	166	255	1160	218	440
348	1505	263	0	208	314	1539	255	536
345	1423	242	0	180	256	1482	239	506
222	866	187	0	108	181	915	121	299
