C53-A_1	C53-B_1	C53-C_1	C53-E_2	C53-F_1	C53-G_1	C53-H_2	C53-I_1	C53-I_Nod_1	C53-J_1
1266	2098	1261	794	2626	1293	1023	1437	1629	1342
2963	5164	3466	1959	5978	2700	2435	3399	3505	3377
6027	11471	7272	3796	10808	5407	4935	8190	7899	6580
9249	17487	11292	4532	9517	9127	7536	12119	12141	9934
7769	14192	9829	4185	8059	11592	6885	10306	12212	8401
12755	19329	13337	5940	12538	16406	11478	13590	16534	13435
17442	18897	15484	6994	16749	16344	15480	13391	16302	18697
12956	4733	11132	4983	11747	6358	12326	4232	5784	14931
3339	1509	3043	1474	3589	1933	3282	1345	2033	3628
856	385	984	503	1057	435	1058	305	645	1212
