samples	mrca	comparison	subject
C100P1b_C100P1c	961.417344189774	primary_primary	C100
C100P1b_C100P1d	737.1992205115052	primary_primary	C100
C100P1b_C100P1g	997.0947929631667	primary_primary	C100
C100P1c_C100P1d	737.1992205115052	primary_primary	C100
C100P1c_C100P1g	961.417344189774	primary_primary	C100
C100P1d_C100P1g	737.1992205115052	primary_primary	C100
C100L1	1708.2920348282773	met_primary	C100
C100L2	1812.8755999425473	met_primary	C100
C100L3	1812.8755999425473	met_primary	C100
C100L4	1812.8755999425473	met_primary	C100
C100M1	1812.8755999425473	met_primary	C100
C100M2	1812.8755999425473	met_primary	C100
C100M3	1812.8755999425473	met_primary	C100
C102P1b_C102P1c	3197.282823321497	primary_primary	C102
C102P1b_C102P1d	3300.708190525227	primary_primary	C102
C102P1b_C102P1e	3241.6662827763494	primary_primary	C102
C102P1b_C102P1f	2989.499926706877	primary_primary	C102
C102P1b_C102P1g	3300.708190525227	primary_primary	C102
C102P1b_C102P1j	3300.708190525227	primary_primary	C102
C102P1c_C102P1d	3197.282823321497	primary_primary	C102
C102P1c_C102P1e	3197.282823321497	primary_primary	C102
C102P1c_C102P1f	2989.499926706877	primary_primary	C102
C102P1c_C102P1g	3197.282823321497	primary_primary	C102
C102P1c_C102P1j	3197.282823321497	primary_primary	C102
C102P1d_C102P1e	3241.6662827763494	primary_primary	C102
C102P1d_C102P1f	2989.499926706877	primary_primary	C102
C102P1d_C102P1g	3311.370704998503	primary_primary	C102
C102P1d_C102P1j	3311.370704998503	primary_primary	C102
C102P1e_C102P1f	2989.499926706877	primary_primary	C102
C102P1e_C102P1g	3241.6662827763494	primary_primary	C102
C102P1e_C102P1j	3241.6662827763494	primary_primary	C102
C102P1f_C102P1g	2989.499926706877	primary_primary	C102
C102P1f_C102P1j	2989.499926706877	primary_primary	C102
C102P1g_C102P1j	3333.516533711594	primary_primary	C102
C102L2	3356.586679595691	met_primary	C102
C102L3	3369.2083253062174	met_primary	C102
C102M1	3122.710922680895	met_primary	C102
C102M2	2887.18854544197	met_primary	C102
C102M4	3414.5886631677145	met_primary	C102
C102M5	3369.2083253062174	met_primary	C102
C102M6	3348.5798840248544	met_primary	C102
C102M7	3348.5798840248544	met_primary	C102
C11P1_C11P2	2030.1305861630756	primary_primary	C11
C11P1_C11P3	1797.060910341649	primary_primary	C11
C11P1_C11P4	1797.060910341649	primary_primary	C11
C11P1_C11P5	2030.1305861630756	primary_primary	C11
C11P1_C11P6	1689.1056351520992	primary_primary	C11
C11P2_C11P3	1797.060910341649	primary_primary	C11
C11P2_C11P4	1797.060910341649	primary_primary	C11
