a	b	r	l1	markers
C12P8	C45P2	0.3417607276812145	2.3324637143938625	14
C12P8	C45P3	0.2925180907038644	2.3335974166944298	14
C12P8	C45P1	0.26861221083133174	2.3016677328926485	14
C12P8	C45L1	0.18541414909389814	2.211620570111704	14
C12P8	C45L2	0.28059748267172707	2.262748774526717	14
C12P8	C45M1	0.21124653340320737	2.306086403126311	14
C12P8	C45M2	0.28253504989532363	2.303748659908849	14
C12P8	C46P4	-0.5792077417163769	2.5288211421812363	13
C12P8	C46P1	-0.5919216392104065	2.5304695638825603	13
C12P8	C46P2	-0.39206180650349887	2.5212296897841617	13
C12P8	C46P3	-0.5101783982894985	2.5209076260786984	13
C12P8	C46P5	0.04576529665756492	2.513426221552776	13
C12P8	C46M1	-0.11718302818127653	2.4494806240320037	13
C12P8	C46L1	-0.15975882201899785	2.479471214036868	13
C12P8	C51P2	0.3444658115271549	2.210597591009562	12
C12P8	C51M1a	0.38815167596530376	2.2016913928406523	12
C12P8	C51M1b	0.37054111715115345	2.171852644956147	12
C12P8	C51L1	0.3356753211814903	2.244905653480885	12
C12P8	C51L2	0.4997356907056289	2.1373871456075784	12
C12P8	C51P1	0.5219058351055795	2.1712495869249824	12
C12P8	C51P3	0.44137120351103903	2.2033399047487094	12
C12P8	C53P1	-0.3249194645224531	2.154957342686973	11
C12P8	C53M1a	-0.10057634380203428	2.098343767187626	11
C12P8	C53L1	-0.08823872652431848	2.0434501903203044	11
C12P8	C53P2	-0.4451287770770742	2.094062652480058	11
C12P8	C53P3	-0.15577025522505134	2.0806713132523464	11
C12P8	C53P4	-0.47151801366668067	2.1709643239262526	11
C12P8	C53M1b	-0.10795193949183356	2.1071331171001657	11
C12P8	C53M2	-0.12590987995493952	2.0931614427989906	11
C12P8	C53M3	-0.5026601464713478	2.1495703848557994	11
C12P8	C59P3	0.293972467343852	2.441811483558252	12
C12P8	C59M1b	-0.07070105257290808	2.5667158729681048	12
C12P8	C59L1	0.16967598108396403	2.5410547767621745	12
C12P8	C59L2	0.3100634402721429	2.5273171075024816	12
C12P8	C59L3	0.40617967291074564	2.4224617679481453	12
C12P8	C59M1a	-0.05038163848204634	2.5307849225147145	12
C12P8	C59M1c	-0.11469988176681052	2.609201594352005	12
C12P8	C59P1	0.03604830261049008	2.5021571906343056	12
C12P8	C59P2	0.10197832673078358	2.5328029749703322	12
C12P8	C59P4	0.1791087745125129	2.4803374628176864	12
C12P8	C59P5	0.09071961694301241	2.5619424302332083	12
C12P8	C63M1	0.31681534960740193	2.3758804018004747	13
C12P8	C63L1	0.5389990338203388	2.2916517110561605	13
C12P8	C63P1	0.49556013323983983	2.334959583950644	13
C12P8	C69P1	-0.6347358296646998	2.8842674810420337	11
C12P8	C69P2	-0.5784493761524792	2.9151067296021465	11
C12P8	C69P3	-0.6259773312162844	2.9192252717778016	11
C12P8	C69P4	-0.6680122647830734	2.928318958083125	11
C12P8	C69P5	-0.3100872413421374	2.940192271858595	11
C12P8	C69P6	-0.46280522249681955	2.908381699201239	11
C12P8	C69L1	0.4420665804795267	2.7522676375419945	11
C12P8	C69M1	-0.12458540940721871	2.8191262162990154	11
C12P8	C69M2	-0.3832768339877025	2.8102820788477505	11
