sample	length	marker	subject
C12N1	0	Nax15	C12
C12P8	-1.8551986982712116	Nax15	C12
C12P9	-2.0661391193719276	Nax15	C12
C12P10	-2.935086141014452	Nax15	C12
C12M1	-2.4739130838862105	Nax15	C12
C12L5	-3.0489028306142463	Nax15	C12
C12P3	-2.2065635448636978	Nax15	C12
C12P1	-2.6265665132144167	Nax15	C12
C12P2	-2.1422571777883674	Nax15	C12
C12P4	-2.2830377259248427	Nax15	C12
C12P5	-2.772225682850488	Nax15	C12
C12P6	-3.0268429422710597	Nax15	C12
C12P7	-2.818074681845061	Nax15	C12
C12L1	-1.7340084049867217	Nax15	C12
C12L2	-2.3948867574355748	Nax15	C12
C12L3	-2.526369922446717	Nax15	C12
C12N2	-0.1012604189904156	Nax15	C12
C12N1	0	Nax38	C12
C12P8	-4.572369613989758	Nax38	C12
C12P9	-3.8722358222368882	Nax38	C12
C12P10	-5.162537859226708	Nax38	C12
C12M1	-5.548754814945935	Nax38	C12
C12L5	-4.921056428443082	Nax38	C12
C12P3	-5.052518736802437	Nax38	C12
C12P1	-4.137077697845076	Nax38	C12
C12P2	-5.054252725467207	Nax38	C12
C12P4	-4.657318717720659	Nax38	C12
C12P5	-5.057940106963315	Nax38	C12
C12P6	-5.191502776945933	Nax38	C12
C12P7	-4.642469304100646	Nax38	C12
C12L1	-4.278998790924957	Nax38	C12
C12L2	-4.561573773349159	Nax38	C12
C12L3	-4.703833345988717	Nax38	C12
C12N2	0.04264961777414378	Nax38	C12
C12N1	0	Nax47	C12
C12P8	-6.1072918542052275	Nax47	C12
C12P9	-6.630105867720678	Nax47	C12
C12P10	-6.869154347145122	Nax47	C12
C12M1	-6.9039077994165226	Nax47	C12
C12L5	-8.355714091874706	Nax47	C12
C12P3	-7.00219938641247	Nax47	C12
C12P1	-6.9875912351147	Nax47	C12
C12P2	-6.0924354276051575	Nax47	C12
C12P4	-7.012270681271073	Nax47	C12
C12P5	-7.893260388199432	Nax47	C12
C12P6	-7.687416724355275	Nax47	C12
C12P7	-6.701514333776557	Nax47	C12
C12L1	-6.196754437179202	Nax47	C12
C12L2	-8.869171026874481	Nax47	C12
C12L3	-8.7861572476819	Nax47	C12
C12N2	-0.085279627916659	Nax47	C12
C12N1	0	Nax49	C12
C12P8	-3.213589627254999	Nax49	C12
C12P9	-3.069450760272975	Nax49	C12
C12P10	-3.866845678267766	Nax49	C12
C12M1	-4.1495012180480195	Nax49	C12
C12L5	-4.484573955145528	Nax49	C12
C12P3	-3.646368931517797	Nax49	C12
C12P1	-3.2067923959145217	Nax49	C12
C12P2	-3.6948521350384667	Nax49	C12
C12P4	-3.0304012323604166	Nax49	C12
C12P5	-3.8548825429035523	Nax49	C12
C12P6	-3.5184956056209833	Nax49	C12
C12P7	-3.94236716899157	Nax49	C12
C12L1	-2.9661306731046633	Nax49	C12
C12L2	-3.9147384246937955	Nax49	C12
C12L3	-3.9939935325059084	Nax49	C12
C12N2	-0.009977185840346792	Nax49	C12
C12N1	0	Nax53	C12
C12P8	-1.937759081404835	Nax53	C12
C12P9	-1.7706942478554106	Nax53	C12
C12P10	-2.2949463658472657	Nax53	C12
C12M1	-2.583242443070286	Nax53	C12
C12L5	-1.9986794647571253	Nax53	C12
C12P3	-1.9981766729368258	Nax53	C12
C12P1	-1.308417976510483	Nax53	C12
C12P2	-2.053670737248236	Nax53	C12
C12P4	-1.503005093372022	Nax53	C12
C12P5	-2.3243959842557693	Nax53	C12
C12P6	-2.1996746841155197	Nax53	C12
C12P7	-2.276976627215177	Nax53	C12
C12L1	-1.5340825440249217	Nax53	C12
C12L2	-1.851568722525859	Nax53	C12
C12L3	-1.8519389623358284	Nax53	C12
C12N2	0.009310836257839128	Nax53	C12
C12N1	0	Nax55	C12
C12P8	-1.6885596500811526	Nax55	C12
C12P9	-1.2025200814823385	Nax55	C12
C12P10	-2.2428548785553444	Nax55	C12
C12M1	-2.5902416927750216	Nax55	C12
C12L5	-2.109586278887321	Nax55	C12
C12P3	-2.3113820130283305	Nax55	C12
C12P1	-1.8633005256382753	Nax55	C12
C12P2	-2.3248757661330073	Nax55	C12
C12P4	-1.9870001406996725	Nax55	C12
C12P5	-2.6766596433663867	Nax55	C12
C12P6	-2.4438932020742308	Nax55	C12
C12P7	-2.120533442090164	Nax55	C12
C12L1	-1.8744056273077558	Nax55	C12
C12L2	-2.289375289499062	Nax55	C12
C12L3	-2.322384936442532	Nax55	C12
C12N2	0.10960393731846363	Nax55	C12
C12N1	0	Nax56	C12
C12P8	-3.9085061456850925	Nax56	C12
C12P9	-3.0835920846381724	Nax56	C12
C12P10	-3.886321981875896	Nax56	C12
C12M1	-4.177804694770792	Nax56	C12
C12L5	-3.5347584860348027	Nax56	C12
C12P3	-3.510105577918183	Nax56	C12
C12P1	-3.134760197913937	Nax56	C12
C12P2	-3.4809439998619167	Nax56	C12
C12P4	-2.3851751678825126	Nax56	C12
C12P5	-3.7195213309134196	Nax56	C12
C12P6	-2.631961488806179	Nax56	C12
C12P7	-3.439378068349531	Nax56	C12
C12L1	-2.6118041440067934	Nax56	C12
C12L2	-3.0607406630631937	Nax56	C12
C12L3	-3.197552116113097	Nax56	C12
C12N2	0.029507076246661157	Nax56	C12
C12N1	0	Sal21	C12
C12P8	-1.9960541300801888	Sal21	C12
C12P9	-1.9145584591484788	Sal21	C12
C12P10	-2.5680823076839014	Sal21	C12
C12M1	-2.9094117486106317	Sal21	C12
C12L5	-3.0328819046394875	Sal21	C12
C12P3	-2.2916308059849166	Sal21	C12
C12P1	-1.911656833276997	Sal21	C12
C12P2	-2.2167780328603954	Sal21	C12
C12P4	-2.2055751101560035	Sal21	C12
C12P5	-2.367013148336382	Sal21	C12
C12P6	-2.497653819106862	Sal21	C12
C12P7	-2.189761329450969	Sal21	C12
C12L1	-1.9220547498078298	Sal21	C12
C12L2	-2.8846279091923632	Sal21	C12
C12L3	-2.805735643035916	Sal21	C12
C12N2	0.03186087782143332	Sal21	C12
C12N1	0	Sal22LA	C12
C12P8	-2.9962144609192327	Sal22LA	C12
C12P9	-2.053179713545336	Sal22LA	C12
C12P10	-3.245127905854519	Sal22LA	C12
C12M1	-3.6165317282907696	Sal22LA	C12
C12L5	-3.748045347568867	Sal22LA	C12
C12P3	-3.1218155599851345	Sal22LA	C12
C12P1	-2.662852711956181	Sal22LA	C12
C12P2	-2.6267846749065233	Sal22LA	C12
C12P4	-2.7306408943306355	Sal22LA	C12
C12P5	-3.076257235904287	Sal22LA	C12
C12P6	-3.0972236475294164	Sal22LA	C12
C12P7	-3.29082269432808	Sal22LA	C12
C12L1	-2.1672253299552073	Sal22LA	C12
C12L2	-2.9929290131363517	Sal22LA	C12
C12L3	-3.4177156243760445	Sal22LA	C12
C12N2	0.020464848389194046	Sal22LA	C12
C12N1	0	Sal45	C12
C12P8	-3.558072920571141	Sal45	C12
C12P9	-3.1190977173674326	Sal45	C12
C12P10	-3.9668391104780745	Sal45	C12
C12M1	-4.101082380012832	Sal45	C12
C12L5	-3.6150762390305116	Sal45	C12
C12P3	-3.7633777769090586	Sal45	C12
C12P1	-2.8164789697972434	Sal45	C12
C12P2	-3.091803825529139	Sal45	C12
C12P4	-2.7312313549774823	Sal45	C12
C12P5	-3.622223798553909	Sal45	C12
C12P6	-3.402013793981512	Sal45	C12
C12P7	-3.525763411570614	Sal45	C12
C12L1	-3.1117766783464016	Sal45	C12
C12L2	-3.5344333952536826	Sal45	C12
C12L3	-3.6432780464223304	Sal45	C12
C12N2	0.153685383872058	Sal45	C12
C12N1	0	Sal57	C12
C12P8	-0.18999108910642315	Sal57	C12
C12P9	-0.604388587372759	Sal57	C12
C12P10	-0.6156856517296512	Sal57	C12
C12M1	-0.2641527230337628	Sal57	C12
C12L5	-1.5026230735455466	Sal57	C12
C12P3	-0.7437314078065138	Sal57	C12
C12P1	-0.6958598262609721	Sal57	C12
C12P2	-0.9224026091203998	Sal57	C12
C12P4	-0.808905859422973	Sal57	C12
C12P5	-0.5877404641368265	Sal57	C12
C12P6	-0.9198750374436573	Sal57	C12
C12P7	-0.5241441154310702	Sal57	C12
C12L1	-0.09531528746893647	Sal57	C12
C12L2	-1.0899420793172334	Sal57	C12
C12L3	-1.1528201765784925	Sal57	C12
C12N2	-0.0354272695710649	Sal57	C12
C12N1	0	Sal74	C12
C12P8	-0.5636491571115037	Sal74	C12
C12P9	-0.24873672563848137	Sal74	C12
C12P10	-0.03810778196303222	Sal74	C12
C12M1	-0.45171112789820533	Sal74	C12
C12L5	-1.7898376719526121	Sal74	C12
C12P3	-0.6866834286988972	Sal74	C12
C12P1	-0.9501880211369764	Sal74	C12
C12P2	-0.7728568918469949	Sal74	C12
C12P4	-0.42979654508908594	Sal74	C12
C12P5	-0.0040496625642796324	Sal74	C12
C12P6	-1.2988376314979013	Sal74	C12
C12P7	0.2976668598655716	Sal74	C12
C12L1	-0.09065533900710632	Sal74	C12
C12L2	-1.2568325167079593	Sal74	C12
C12L3	-1.2442837207906878	Sal74	C12
C12N2	-0.015465122555642807	Sal74	C12
C12N1	0	Sal78	C12
C12P8	-0.5776817837092074	Sal78	C12
C12P9	-0.7460337691523424	Sal78	C12
C12P10	-0.9402637620054057	Sal78	C12
C12M1	-1.1650861922340763	Sal78	C12
C12L5	-1.3210953333309048	Sal78	C12
C12P3	-0.5210917585398147	Sal78	C12
C12P1	-0.49246216901783635	Sal78	C12
C12P2	-0.5585528062310532	Sal78	C12
C12P4	-0.6919532402707405	Sal78	C12
C12P5	-0.14748325185078048	Sal78	C12
C12P6	-0.8088927512019959	Sal78	C12
C12P7	-0.4314346993105711	Sal78	C12
C12L1	-0.7510277467383566	Sal78	C12
C12L2	-0.8188483227856445	Sal78	C12
C12L3	-0.7578649830386612	Sal78	C12
C12N2	0.04270972082071989	Sal78	C12
C12N1	0	Sal83	C12
