subject	all_mrca	ad_ad_mrca
C100	737.1992205115052	NA
C102	2887.18854544197	NA
C11	1618.2467263683625	NA
C57	1100.310790930335	NA
C6	1611.3024207118074	NA
C70	1715.8331810330142	906.2799202798511
C80	1483.6316446620149	NA
C83	1714.0111758238454	NA
C84	2922.877657981976	NA
C85	560.2352671156633	NA
C89	1314.2014572980454	NA
C90	768.6479419434402	639.9505927307027
C92	3451.15271211923	NA
C93	1327.1103245829793	1578.422039337693
C94	1408.9090253395184	NA
C95	2748.85244127778	NA
C96	720.6092890855437	NA
C97	194.60002070128226	NA
C98	1347.413570144593	NA
C99	1864.9927560449523	NA
C12	4281.497882738508	NA
C31	1478.9894139266357	NA
C36	1179.0512743526851	NA
C38	3796.0334641335066	NA
C45	2412.1127761792295	NA
C46	1549.7540368819573	NA
C51	1985.081701562614	NA
C53	1321.8543960841234	NA
C58	1528.7833029896992	NA
C59	1874.943526414349	NA
C61	347.9037199421201	NA
C63	1347.7205516666581	NA
C65	1144.5232560052148	NA
C66	417.09003804982336	NA
C69	502.227449098114	NA
C77	175.83206326651836	NA
C79	1823.7031427825536	NA
