a	b	l1	r	marker	divs
C12N1	C12P8	2.2956661876249522	NA	15	4864.66884265388
C12N1	C12P9	2.099554447295795	NA	15	4449.09506367825
C12N1	C12P10	2.663431225611597	NA	15	5643.987339112623
C12N1	C12M1	2.8262550282810706	NA	15	5989.021771365199
C12N1	C12L5	3.012482842013175	NA	15	6383.650854627249
C12N1	C12P3	2.534688273294116	NA	15	5371.172488144211
C12N1	C12P1	2.2995015184494028	NA	15	4872.796162933959
C12N1	C12P2	2.4749617280116505	NA	15	5244.607979122295
C12N1	C12P4	2.286211656477329	NA	15	4844.634064364392
C12N1	C12P5	2.672910290102392	NA	15	5664.07410518273
C12N1	C12P6	2.719949531012732	NA	15	5763.753375135896
C12N1	C12P7	2.534636789267635	NA	15	5371.063390078967
C12N1	C12L1	2.056902993656509	NA	15	4358.713805840589
C12N1	C12L2	2.760587584757601	NA	15	5849.868105119041
C12N1	C12L3	2.8065023506915425	NA	15	5947.164538050204
C12N1	C12N2	0.0700885152360503	NA	15	148.52221029984895
C12P8	C12P9	0.42021800290776185	0.9639041269818336	15	890.4698064933104
C12P8	C12P10	0.5212953158453405	0.9748601777539575	15	1104.659333523512
C12P8	C12M1	0.5676779408303019	0.9898040948852029	15	1202.9471908004793
C12P8	C12L5	0.7921181132712584	0.9383565125508492	15	1678.550795453021
C12P8	C12P3	0.3137376452575573	0.9871809284395828	15	664.8308695224719
C12P8	C12P1	0.46933254808232	0.9450349837738267	15	994.5467837645474
C12P8	C12P2	0.3794507844540559	0.967788180451054	15	804.0813679291722
C12P8	C12P4	0.4957879661454417	0.9271841453006407	15	1050.607568500937
C12P8	C12P5	0.5936842808834283	0.9532973261999637	15	1258.0563494620847
C12P8	C12P6	0.6555250547785468	0.9272129019231253	15	1389.101049076894
C12P8	C12P7	0.4677302928359044	0.9555820172766248	15	991.1514986759603
C12P8	C12L1	0.3811292451609098	0.9641153067095936	15	807.6381374404652
C12P8	C12L2	0.6190533952250983	0.9229376067963372	15	1311.8151845962666
C12P8	C12L3	0.6617751510373192	0.9343425026681019	15	1402.3454173990558
C12P8	C12N2	2.3327667528777853	-0.2871852539062377	15	4943.287400004776
C12P9	C12P10	0.6028923235549347	0.9739718293912345	15	1277.5688023297412
C12P9	C12M1	0.802993367087041	0.9566005959623822	15	1701.5961792630796
C12P9	C12L5	0.9129283947173799	0.9705636200826939	15	1934.5557909489985
C12P9	C12P3	0.513698500881844	0.9741452933263286	15	1088.56117898539
C12P9	C12P1	0.3361295038097548	0.9771249821821228	15	712.280702261736
C12P9	C12P2	0.47573332003253616	0.9638684004408637	15	1008.110443865916
C12P9	C12P4	0.3796042079046222	0.9678512082362575	15	804.4064823921221
C12P9	C12P5	0.6880072699548226	0.9740208166762516	15	1457.9330164422745
C12P9	C12P6	0.6806124964945364	0.9636158934260783	15	1442.2630012437862
C12P9	C12P7	0.5208930442947655	0.9653057743877725	15	1103.806893439271
C12P9	C12L1	0.25757222664245927	0.9802735236418108	15	545.812623993424
C12P9	C12L2	0.6640799936718035	0.9733574572189916	15	1407.2295317409566
C12P9	C12L3	0.7069479033957475	0.9745061027002506	15	1498.0694743719534
C12P9	C12N2	2.0924696495047845	-0.1206428427089759	15	4434.081907472779
C12P10	C12M1	0.3406484055707446	0.984796032629055	15	721.8565546736426
C12P10	C12L5	0.533356236400838	0.9445333577618664	15	1130.2172237587442
C12P10	C12P3	0.3256188213253426	0.9802959171301913	15	690.0078692720899
C12P10	C12P1	0.562542292801054	0.957767110527673	15	1192.0644121589705
C12P10	C12P2	0.4412470246484065	0.9771348455559755	15	935.0316976796948
C12P10	C12P4	0.5432560726143115	0.9566110363179519	15	1151.1956330042478
C12P10	C12P5	0.27822052517374984	0.9815429006158215	15	589.5677374591609
C12P10	C12P6	0.40485314828784963	0.9530158273099532	15	857.9106609414378
C12P10	C12P7	0.2511829202406367	0.9904622703087763	15	532.2732601492095
C12P10	C12L1	0.6447227374640644	0.9783201690722696	15	1366.2102225484125
C12P10	C12L2	0.5259753563130514	0.9330956780675577	15	1114.5766495376433
C12P10	C12L3	0.47709217096027196	0.9448930496290574	15	1010.9899390667433
C12P10	C12N2	2.6563464278205866	-0.18369695949626225	15	5628.974182907153
C12M1	C12L5	0.5954382892045753	0.931944510880625	15	1261.7732093764903
C12M1	C12P3	0.4141843593957194	0.9853526550664167	15	877.6841158911936
C12M1	C12P1	0.7753043446468236	0.9352654847202423	15	1642.9213050698827
C12M1	C12P2	0.6010113054092103	0.9713114447675909	15	1273.582800176946
C12M1	C12P4	0.7412925858190685	0.9347307016699508	15	1570.848133305997
C12M1	C12P5	0.5173184535749846	0.9593823488590969	15	1096.23209872674
C12M1	C12P6	0.614781216196591	0.9325676492386423	15	1302.7621540109617
C12M1	C12P7	0.5346103973387213	0.9675591046866082	15	1132.8748739306563
C12M1	C12L1	0.8342530801077775	0.9727357900498693	15	1767.8375835151521
C12M1	C12L2	0.6346335180512607	0.9184472954587508	15	1344.8304977483785
C12M1	C12L3	0.5854105409821817	0.9294592523705495	15	1240.5237461041647
C12M1	C12N2	2.8457111909219504	-0.30039059519025557	15	6030.250669846566
C12L5	C12P3	0.5562411075024266	0.9653905720589055	15	1178.7117827744107
C12L5	C12P1	0.7375910855437596	0.981857575341537	15	1563.004408831839
C12L5	C12P2	0.642045015401861	0.9439974361282711	15	1360.5359519791516
C12L5	C12P4	0.7720333058158182	0.9691335494519976	15	1635.9897569336244
C12L5	C12P5	0.5716630543320148	0.9483279618558235	15	1211.391910503512
C12L5	C12P6	0.46146552392117074	0.9724142845579408	15	977.8760380230937
C12L5	C12P7	0.6104454311419374	0.9369480782682958	15	1293.5743380394945
C12L5	C12L1	0.9555798483566661	0.9512326314429052	15	2024.93704878666
C12L5	C12L2	0.3662926304246793	0.985364881681469	15	776.1983672217511
