sample	length	marker	subject
MSI1A3	-0.07724446066766388	JF01	MSI1
MSI1A333	-0.016241349639890768	JF01	MSI1
MSI1A33311	-0.03708187640272387	JF01	MSI1
MSI1A33322	-0.08101665713538164	JF01	MSI1
MSI1A3333C	-0.12169895353901605	JF01	MSI1
MSI1B2	-0.042942284228479455	JF01	MSI1
MSI1B214	-0.03964891326537057	JF01	MSI1
MSI1B21418	-0.06548916544758754	JF01	MSI1
MSI1B21419	-0.1079634903707789	JF01	MSI1
MSI1B21435	-0.3431537079354485	JF01	MSI1
MSI1C9	-0.2255523308645433	JF01	MSI1
MSI1C931	-0.29854433666060887	JF01	MSI1
MSI1C93113	-0.28186177652589794	JF01	MSI1
MSI1C93133	-0.2980193422894786	JF01	MSI1
MSI1M2	0	JF01	MSI1
MSI1A3	-0.030015509666641904	JF06	MSI1
MSI1A333	0.1065503977064397	JF06	MSI1
MSI1A33311	0.10848649513117836	JF06	MSI1
MSI1A33322	0.29039400657689285	JF06	MSI1
MSI1A3333C	-0.023531505761846816	JF06	MSI1
MSI1B2	0.017362288491140188	JF06	MSI1
MSI1B214	-0.7981418461605321	JF06	MSI1
MSI1B21418	-0.7850297039402887	JF06	MSI1
MSI1B21419	-0.8170371867977959	JF06	MSI1
MSI1B21435	-0.7303788463260208	JF06	MSI1
MSI1C9	0.021186057975204786	JF06	MSI1
MSI1C931	-0.0745786512206501	JF06	MSI1
MSI1C93113	0.3629214989098948	JF06	MSI1
MSI1C93133	0.23883478273873404	JF06	MSI1
MSI1M2	0	JF06	MSI1
MSI1A3	0.012132707936187703	JF12	MSI1
MSI1A333	0.02703673151143482	JF12	MSI1
MSI1A33311	-0.005015680968740277	JF12	MSI1
MSI1A33322	-0.017127216758525465	JF12	MSI1
MSI1A3333C	-0.007683328913319798	JF12	MSI1
MSI1B2	0.03945747560718216	JF12	MSI1
MSI1B214	0.015558242112258203	JF12	MSI1
MSI1B21418	-2.755200806223712e-4	JF12	MSI1
MSI1B21419	0.010399725273031901	JF12	MSI1
MSI1B21435	-0.02412160557442622	JF12	MSI1
MSI1C9	0.014676086541681954	JF12	MSI1
MSI1C931	-0.0013025745190287097	JF12	MSI1
MSI1C93113	-0.020159881147814085	JF12	MSI1
MSI1C93133	-8.932089304769519e-4	JF12	MSI1
MSI1M2	0	JF12	MSI1
MSI1A3	0.010541693830359744	JF21LA	MSI1
MSI1A333	0.013593015971476108	JF21LA	MSI1
MSI1A33311	0.006416295774837932	JF21LA	MSI1
MSI1A33322	1.0174476673507904e-4	JF21LA	MSI1
MSI1A3333C	0.00800733902045625	JF21LA	MSI1
MSI1B2	6.822438493678806e-4	JF21LA	MSI1
MSI1B214	-0.005790982565096803	JF21LA	MSI1
MSI1B21418	0.0029499736968101598	JF21LA	MSI1
MSI1B21419	-0.0071729015026771314	JF21LA	MSI1
MSI1B21435	0.007777727895819098	JF21LA	MSI1
MSI1C9	0.0032829117940911257	JF21LA	MSI1
MSI1C931	0.018184235237615365	JF21LA	MSI1
MSI1C93113	0.0056492740533751196	JF21LA	MSI1
MSI1C93133	-8.944672982071911e-4	JF21LA	MSI1
MSI1M2	0	JF21LA	MSI1
MSI1A3	0.002090637405838258	JF27	MSI1
MSI1A333	0.006678155372226824	JF27	MSI1
MSI1A33311	0.011122354398672485	JF27	MSI1
MSI1A33322	-0.009688190799686414	JF27	MSI1
MSI1A3333C	-0.032988886951953234	JF27	MSI1
MSI1B2	0.007276862293419395	JF27	MSI1
MSI1B214	0.007554146016638619	JF27	MSI1
MSI1B21418	-0.009545493954778994	JF27	MSI1
MSI1B21419	-0.013510350330306231	JF27	MSI1
MSI1B21435	0.013350694119022233	JF27	MSI1
MSI1C9	0.017751251648612243	JF27	MSI1
MSI1C931	-0.01863696475701193	JF27	MSI1
MSI1C93113	0.02331758038648868	JF27	MSI1
MSI1C93133	-0.060262154949134894	JF27	MSI1
MSI1M2	0	JF27	MSI1
MSI1A3	-0.04706763028694372	Nax10	MSI1
MSI1A333	-0.03990912655201928	Nax10	MSI1
MSI1A33311	-0.4039390765656621	Nax10	MSI1
MSI1A33322	-0.2807483399829733	Nax10	MSI1
MSI1A3333C	-0.06818985494691843	Nax10	MSI1
MSI1B2	0.009447066553510908	Nax10	MSI1
MSI1B214	0.018249692612301693	Nax10	MSI1
MSI1B21418	-0.003144849952251505	Nax10	MSI1
MSI1B21419	0.037363890907181396	Nax10	MSI1
MSI1B21435	-9.424620978970566e-4	Nax10	MSI1
MSI1C9	-0.027108324151642105	Nax10	MSI1
MSI1C931	0.034733570991216656	Nax10	MSI1
MSI1C93113	0.12208960494222465	Nax10	MSI1
MSI1C93133	-0.014480239467624223	Nax10	MSI1
MSI1M2	0	Nax10	MSI1
MSI1A3	0.0024691983386984084	Nax11	MSI1
MSI1A333	-0.004992325215399385	Nax11	MSI1
MSI1A33311	0.0013431361249980345	Nax11	MSI1
MSI1A33322	-0.005869193800164707	Nax11	MSI1
MSI1A3333C	-0.0362060278862506	Nax11	MSI1
MSI1B2	-0.0013766083714090716	Nax11	MSI1
MSI1B214	-0.030787101346549495	Nax11	MSI1
MSI1B21418	-0.011362765926428597	Nax11	MSI1
MSI1B21419	-0.47851934704664467	Nax11	MSI1
MSI1B21435	-0.14054423518045778	Nax11	MSI1
MSI1C9	0.007123260635664819	Nax11	MSI1
MSI1C931	-0.01001815217513169	Nax11	MSI1
MSI1C93113	-0.007300439054678032	Nax11	MSI1
MSI1C93133	0.008530041880216332	Nax11	MSI1
MSI1M2	0	Nax11	MSI1
MSI1A3	-0.10018503698313497	Nax13LA	MSI1
MSI1A333	-0.118013598913139	Nax13LA	MSI1
MSI1A33311	-0.11315977599499982	Nax13LA	MSI1
MSI1A33322	0.07106193738683375	Nax13LA	MSI1
MSI1A3333C	-0.04840714849679273	Nax13LA	MSI1
MSI1B2	0.06680770601714503	Nax13LA	MSI1
MSI1B214	-0.049434957200476415	Nax13LA	MSI1
MSI1B21418	-0.007988409999404755	Nax13LA	MSI1
MSI1B21419	-0.02728405304635162	Nax13LA	MSI1
MSI1B21435	-0.08445762294275827	Nax13LA	MSI1
MSI1C9	0.06850059764190997	Nax13LA	MSI1
MSI1C931	-0.15948016029739742	Nax13LA	MSI1
MSI1C93113	-0.0829482518608824	Nax13LA	MSI1
MSI1C93133	-0.1011270641170956	Nax13LA	MSI1
MSI1M2	0	Nax13LA	MSI1
MSI1A3	-0.009065047985543195	Nax13UA	MSI1
MSI1A333	0.027954887591663535	Nax13UA	MSI1
MSI1A33311	-0.7665871885590199	Nax13UA	MSI1
MSI1A33322	-0.012865974384131729	Nax13UA	MSI1
MSI1A3333C	0.3742095948294901	Nax13UA	MSI1
MSI1B2	0.005069593269870332	Nax13UA	MSI1
MSI1B214	-0.0058435326847767755	Nax13UA	MSI1
MSI1B21418	0.3595282450072701	Nax13UA	MSI1
MSI1B21419	-0.03402082547475693	Nax13UA	MSI1
MSI1B21435	-0.016853542815837397	Nax13UA	MSI1
MSI1C9	-0.004214786013954974	Nax13UA	MSI1
MSI1C931	0.02035810728145604	Nax13UA	MSI1
MSI1C93113	-0.008075979197131211	Nax13UA	MSI1
MSI1C93133	-0.007641753928811834	Nax13UA	MSI1
MSI1M2	0	Nax13UA	MSI1
MSI1A3	0.025205556417472463	Nax15	MSI1
MSI1A333	0.016538715006596538	Nax15	MSI1
MSI1A33311	0.02945256876745539	Nax15	MSI1
MSI1A33322	0.02919376395903739	Nax15	MSI1
MSI1A3333C	0.012830332047671478	Nax15	MSI1
MSI1B2	0.01324309967998416	Nax15	MSI1
MSI1B214	0.042272375187782485	Nax15	MSI1
MSI1B21418	0.021797834372969893	Nax15	MSI1
MSI1B21419	0.019992914091378156	Nax15	MSI1
MSI1B21435	0.044008505238133155	Nax15	MSI1
MSI1C9	0.04011349150221477	Nax15	MSI1
MSI1C931	0.05033867027521177	Nax15	MSI1
MSI1C93113	0.0226313202074111	Nax15	MSI1
MSI1C93133	0.013649364394097141	Nax15	MSI1
MSI1M2	0	Nax15	MSI1
MSI1A3	-0.06810218282963243	Nax17	MSI1
MSI1A333	-0.019869584285996833	Nax17	MSI1
MSI1A33311	-0.09783274455092661	Nax17	MSI1
MSI1A33322	-0.09806311853841221	Nax17	MSI1
MSI1A3333C	-0.051748896647124454	Nax17	MSI1
MSI1B2	-0.013782865164108316	Nax17	MSI1
MSI1B214	-0.033522515185448576	Nax17	MSI1
MSI1B21418	-0.03092052846744009	Nax17	MSI1
MSI1B21419	-0.8455339725149271	Nax17	MSI1
MSI1B21435	-0.033624890287824005	Nax17	MSI1
MSI1C9	-0.01826578117871458	Nax17	MSI1
MSI1C931	-0.5014819542201128	Nax17	MSI1
MSI1C93113	-0.07411183615720596	Nax17	MSI1
MSI1C93133	-0.09894367594559261	Nax17	MSI1
MSI1M2	0	Nax17	MSI1
MSI1A3	-0.11110263542823251	Nax1	MSI1
MSI1A333	0.09455481613801009	Nax1	MSI1
MSI1A33311	-0.02123987494533708	Nax1	MSI1
MSI1A33322	-0.03520313698964905	Nax1	MSI1
MSI1A3333C	-0.27028764288381524	Nax1	MSI1
MSI1B2	-0.020539678236087155	Nax1	MSI1
MSI1B214	0.10028739104423945	Nax1	MSI1
MSI1B21418	-0.06405521072339582	Nax1	MSI1
MSI1B21419	-0.21914197836933447	Nax1	MSI1
MSI1B21435	-0.03904374975473868	Nax1	MSI1
MSI1C9	0.1252005145886086	Nax1	MSI1
MSI1C931	-0.0774232042406684	Nax1	MSI1
MSI1C93113	-0.09878670977127424	Nax1	MSI1
MSI1C93133	-0.1303335180931402	Nax1	MSI1
MSI1M2	0	Nax1	MSI1
MSI1A3	0.01804676123963378	Nax27LA	MSI1
MSI1A333	0.006981350238101314	Nax27LA	MSI1
MSI1A33311	0.00827183166922607	Nax27LA	MSI1
MSI1A33322	-0.0049422449543974345	Nax27LA	MSI1
MSI1A3333C	0.003285544124787876	Nax27LA	MSI1
MSI1B2	0.008518462959427708	Nax27LA	MSI1
MSI1B214	0.00789304921559597	Nax27LA	MSI1
MSI1B21418	8.707539138177456e-4	Nax27LA	MSI1
MSI1B21419	0.006314282921942693	Nax27LA	MSI1
MSI1B21435	0.010860374296497666	Nax27LA	MSI1
MSI1C9	0.0026282810182078897	Nax27LA	MSI1
MSI1C931	0.0020358109677707237	Nax27LA	MSI1
MSI1C93113	0.006756932166205765	Nax27LA	MSI1
MSI1C93133	0.005213081741127112	Nax27LA	MSI1
MSI1M2	0	Nax27LA	MSI1
MSI1A3	0.003613765350964915	Nax27UA	MSI1
MSI1A333	-0.0019302822907165673	Nax27UA	MSI1
MSI1A33311	-0.0016650433450917657	Nax27UA	MSI1
MSI1A33322	-0.008128047057396115	Nax27UA	MSI1
MSI1A3333C	0.006812962010297685	Nax27UA	MSI1
MSI1B2	-0.00774331597519895	Nax27UA	MSI1
MSI1B214	-0.015609758712125332	Nax27UA	MSI1
MSI1B21418	-0.01225073602208493	Nax27UA	MSI1
MSI1B21419	0.0021382815810060407	Nax27UA	MSI1
MSI1B21435	-0.004397809082932191	Nax27UA	MSI1
MSI1C9	-0.006321358472483274	Nax27UA	MSI1
MSI1C931	7.969914417618185e-4	Nax27UA	MSI1
MSI1C93113	0.0016365140776362086	Nax27UA	MSI1
MSI1C93133	0.01673862936537951	Nax27UA	MSI1
MSI1M2	0	Nax27UA	MSI1
MSI1A3	-0.017440753692746558	Nax30	MSI1
MSI1A333	-0.45667230002668147	Nax30	MSI1
