a	b	r	l1	markers
TM10P1	TM11P1	-0.010735819093245846	0.14763388719135043	16
TM10P1	TM11P2	-0.06930655570493766	0.15826871679248186	16
TM10P1	TM12P1	-0.019834116064561647	0.19002597532125048	17
TM10P1	TM12P2	0.05174061673707771	0.1558859387690113	17
TM10P1	TM14P1	0.1310401218461519	0.1825529186509835	19
TM10P1	TM14P2	0.08085392338360373	0.14701623603945535	19
TM10P1	TM14P3	0.1704445000929877	0.19829220632477548	19
TM10P1	TM15P1	0.04276107138063637	0.18681054790409635	16
TM10P1	TM15P2	0.675942088128285	0.14168701165795355	16
TM10P1	TM16P1	0.5990969628488931	0.1419867705907732	17
TM10P1	TM16P2	0.8133868524614626	0.12829871820966474	17
TM10P1	TM17P1	0.21556107121025497	0.3458431939960713	19
TM10P1	TM17P2	-0.09059081794997875	0.254797687356474	19
TM10P1	TM18P1	-0.06654942652178272	0.2510722947756084	20
TM10P1	TM18P2	-0.0685792712108425	0.199319588996827	20
TM10P1	TM22P1	-0.3288287467718799	0.27005077308225384	19
TM10P1	TM22P2	-0.2806718617697601	0.2977461375779096	19
TM10P1	TM22P3	-0.29251842642880066	0.2615596888370306	19
TM10P1	TM23P1	0.38123598218048355	0.20107212095593563	14
TM10P1	TM23P2	0.5978258106212981	0.21007992351552038	14
TM10P1	TM25P1	0.11451837780970371	0.1494517195471083	17
TM10P1	TM25P2	-0.27368568818894423	0.1639565795285862	17
TM10P1	TM26P1	0.10025925578018223	0.15208609495723233	15
TM10P1	TM26P2	-0.24062889019128997	0.1734019228026046	15
TM10P1	TM28P1	-0.016263558707471	0.16057297314609978	17
TM10P1	TM28P2	0.3785066587709945	0.1402759710593362	17
TM10P1	TM29P1	-0.28048932918862063	0.19943960525312956	19
TM10P1	TM29P2	-0.4143536331880326	0.11453403846845592	19
TM10P1	TM2P1	-0.6574348094565412	0.14719522252372422	15
TM10P1	TM2P2	0.45634825908556925	0.09030182291648038	15
TM10P1	TM30P1	0.04390972413033797	0.23470743854046958	17
TM10P1	TM30P2	-0.11672468155803524	0.17065099203748663	17
TM10P1	TM31P1	0.6846966862078862	0.1336932103976641	20
TM10P1	TM31P2	0.4404364921993091	0.14707198256376827	20
TM10P1	TM32P1	0.1324476751258306	0.10328665893172245	15
TM10P1	TM32P2	-0.1380495512665387	0.17814194651849255	15
TM10P1	TM33P1	-0.12768953847819411	0.17481838097796007	16
TM10P1	TM33P2	-0.2981814452386076	0.18332196311868054	16
TM10P1	TM34P1	0.08212867582325363	0.1430828832300682	18
TM10P1	TM34P2	0.12187057324498896	0.14912201012972892	18
TM10P1	TM36P1	0.26273547136878656	0.1439173801545815	15
TM10P1	TM36P2	0.0401032812155353	0.1754649270369234	15
TM10P1	TM37P1	-0.4857475371026627	0.17571870711355575	16
TM10P1	TM37P2	-0.6335213251117552	0.20476390425674212	16
TM10P1	TM37P3	-0.17078943616161685	0.1682073050946647	16
TM10P1	TM38P1	0.07108793945907671	0.15922855301060304	16
TM10P1	TM38P2	0.27002275240674534	0.1635112209981022	16
TM10P1	TM39P1	-0.49610048101260995	0.198645929477725	14
TM10P1	TM39P2	-0.11246942337718173	0.293450260448766	14
TM10P1	TM3P1	0.1522349277826616	0.15421282310773612	16
TM10P1	TM3P2	0.3952369858455233	0.08629726196755036	16
TM10P1	TM41P1	-0.08716215982466077	0.18130294865923055	20
TM10P1	TM41P2	0.13950685266293933	0.19246870045558548	20
TM10P1	TM41P3	-0.32600851773079603	0.22199746677524668	20
TM10P1	TM42P1	-0.06976004447017976	0.2073184862418495	18
TM10P1	TM42P2	0.5315291703518283	0.15093600067403695	18
TM10P1	TM44P1	-0.23009519445688595	0.15990281427089034	13
TM10P1	TM44P2	0.1909635055308999	0.1318716601277942	13
TM10P1	TM8P1	-0.06947018438927317	0.14666588648578624	19
TM10P1	TM8P2	0.16372632847590252	0.18451820731348031	19
TM10P1	TM9P1	0.568914271153589	0.10853409719246411	21
TM10P1	TM9P2	0.17371601704022893	0.09324083209838253	21
TM10P2	TM11P1	0.09372568733337643	0.1462874742881431	16
TM10P2	TM11P2	0.04590692009735195	0.16716180310635442	16
TM10P2	TM12P1	0.04996723142546766	0.17953299666594197	17
TM10P2	TM12P2	0.11665218427122176	0.15366287922941874	17
TM10P2	TM14P1	-0.02457033810048319	0.16126566213126714	19
TM10P2	TM14P2	-0.003962846502181934	0.11519197516087717	19
TM10P2	TM14P3	0.0745055023390613	0.16788071059968432	19
TM10P2	TM15P1	-0.054814788502286806	0.17033356440258063	16
TM10P2	TM15P2	0.2513030129257571	0.08177043497268695	16
TM10P2	TM16P1	0.22383123923737502	0.09716497084324274	17
TM10P2	TM16P2	0.1479210571835081	0.12403158584381054	17
TM10P2	TM17P1	0.20561812698859136	0.280298352432499	19
TM10P2	TM17P2	-0.2580673721247654	0.17335177341814767	19
TM10P2	TM18P1	0.11397020651265467	0.1459390506943372	20
TM10P2	TM18P2	0.11791492252314743	0.09695167514149436	20
TM10P2	TM22P1	0.04251927182226581	0.19190958507627318	19
TM10P2	TM22P2	0.021104893465327	0.22379688749199564	19
TM10P2	TM22P3	0.07003202046920165	0.19113374206084108	19
