sample	length	marker	subject
TM10N1	0	JF21	TM10
TM10P1	-0.04559065852525235	JF21	TM10
TM10P2	-0.17587143266966043	JF21	TM10
TM10N1	0	JF27	TM10
TM10P1	0.0484810590495548	JF27	TM10
TM10P2	0.01910891561411754	JF27	TM10
TM10N1	0	Nax10	TM10
TM10P1	0.010726520986549914	Nax10	TM10
TM10P2	0.0066987652123233765	Nax10	TM10
TM10N1	0	Nax17	TM10
TM10P1	0.4053672691040795	Nax17	TM10
TM10P2	-0.02118418204735839	Nax17	TM10
TM10N1	0	Nax18	TM10
TM10P1	-0.042351890157120486	Nax18	TM10
TM10P2	-0.1006153381279109	Nax18	TM10
TM10N1	0	Nax30	TM10
TM10P1	4.998108408287294e-4	Nax30	TM10
TM10P2	-0.11167103333338169	Nax30	TM10
TM10N1	0	Nax38	TM10
TM10P1	-0.26582282431459525	Nax38	TM10
TM10P2	0.06052324888781868	Nax38	TM10
TM10N1	0	Nax43	TM10
TM10P1	0.006672320815159782	Nax43	TM10
TM10P2	-0.015502191168228485	Nax43	TM10
TM10N1	0	Nax47	TM10
TM10P1	0.37871771237777185	Nax47	TM10
TM10P2	0.1023336178057237	Nax47	TM10
TM10N1	0	Nax49	TM10
TM10P1	0.06393614262043812	Nax49	TM10
TM10P2	-0.017606731505584783	Nax49	TM10
TM10N1	0	Nax50LA	TM10
TM10P1	-0.03351125726736237	Nax50LA	TM10
TM10P2	-0.22712039345397272	Nax50LA	TM10
TM10N1	0	Nax50UA	TM10
TM10P1	0.013673151215617185	Nax50UA	TM10
TM10P2	-0.004350642016310857	Nax50UA	TM10
TM10N1	0	Nax51	TM10
TM10P1	0.19057692317747144	Nax51	TM10
TM10P2	0.02845347134178766	Nax51	TM10
TM10N1	0	Nax55	TM10
TM10P1	0.029123690659537793	Nax55	TM10
TM10P2	0.02086553116248302	Nax55	TM10
TM10N1	0	Nax56	TM10
TM10P1	-1.1899221148349106	Nax56	TM10
TM10P2	-0.1801661581284133	Nax56	TM10
TM10N1	0	S1124	TM10
TM10P1	-0.05457599283066861	S1124	TM10
TM10P2	0.0016288064628939836	S1124	TM10
TM10N1	0	Sal21	TM10
TM10P1	0.03546638854907691	Sal21	TM10
TM10P2	-0.0394455063718544	Sal21	TM10
TM10N1	0	Sal22	TM10
TM10P1	0.07565805699676087	Sal22	TM10
TM10P2	-0.01461782512067833	Sal22	TM10
TM10N1	0	Sal27	TM10
TM10P1	-0.0074741111843690256	Sal27	TM10
TM10P2	-0.00962153342922134	Sal27	TM10
TM10N1	0	Sal41	TM10
TM10P1	-0.07274505097933215	Sal41	TM10
TM10P2	-0.0687549502546414	Sal41	TM10
TM10N1	0	Sal45	TM10
TM10P1	0.16312266848134893	Sal45	TM10
TM10P2	-0.21353508256335374	Sal45	TM10
TM10N1	0	Sal46	TM10
TM10P1	-0.0036075294595421248	Sal46	TM10
TM10P2	-0.008859615593800996	Sal46	TM10
TM10N1	0	Sal52	TM10
TM10P1	0.01738792725507965	Sal52	TM10
TM10P2	-0.00643759601028604	Sal52	TM10
TM10N1	0	Sal66	TM10
TM10P1	0.023138037638007702	Sal66	TM10
TM10P2	-0.012048680671629342	Sal66	TM10
TM10N1	0	Sal78	TM10
TM10P1	0.0027872868612170976	Sal78	TM10
TM10P2	-0.027242875188929982	Sal78	TM10
TM10N1	0	Sal87	TM10
TM10P1	0.05575942329552008	Sal87	TM10
TM10P2	-0.09320198650063816	Sal87	TM10
TM11N1	0	JF21	TM11
TM11P1	-0.017209947112052593	JF21	TM11
TM11P2	-0.07160578011200425	JF21	TM11
TM11N1	0	JF27	TM11
TM11P1	0.02419537399602678	JF27	TM11
TM11P2	0.04008946229060095	JF27	TM11
TM11N1	0	Nax10	TM11
TM11P1	-0.004391414496594859	Nax10	TM11
TM11P2	0.0024094575086277548	Nax10	TM11
TM11N1	0	Nax11LA	TM11
TM11P1	0.002143952284186401	Nax11LA	TM11
TM11P2	0.11488706328483023	Nax11LA	TM11
TM11N1	0	Nax11UA	TM11
TM11P1	-0.07009332119076506	Nax11UA	TM11
TM11P2	-0.13954436831841832	Nax11UA	TM11
TM11N1	0	Nax11	TM11
TM11P1	-0.07009332119076506	Nax11	TM11
TM11P2	-0.13954436831841832	Nax11	TM11
TM11N1	0	Nax18	TM11
TM11P1	0.12121764832878323	Nax18	TM11
TM11P2	0.1441269709388271	Nax18	TM11
TM11N1	0	Nax30	TM11
TM11P1	-0.8224921661066853	Nax30	TM11
TM11P2	-0.6654578183907418	Nax30	TM11
TM11N1	0	Nax40	TM11
TM11P1	-0.2849920497832583	Nax40	TM11
TM11P2	-0.4035282422219133	Nax40	TM11
TM11N1	0	Nax50	TM11
TM11P1	0.21108889966892885	Nax50	TM11
TM11P2	0.14905003243542048	Nax50	TM11
TM11N1	0	Nax51	TM11
TM11P1	-0.019272373545908827	Nax51	TM11
TM11P2	0.09643761876598411	Nax51	TM11
TM11N1	0	S1124	TM11
TM11P1	-0.22790556795849426	S1124	TM11
TM11P2	-0.24566578543578643	S1124	TM11
TM11N1	0	Sal21	TM11
TM11P1	0.0761753284927229	Sal21	TM11
TM11P2	0.10411953325046852	Sal21	TM11
TM11N1	0	Sal22	TM11
TM11P1	0.024532097599370584	Sal22	TM11
TM11P2	-0.06272791583952664	Sal22	TM11
TM11N1	0	Sal27	TM11
TM11P1	-0.006684384315561065	Sal27	TM11
TM11P2	-0.024711415584222962	Sal27	TM11
TM11N1	0	Sal41	TM11
TM11P1	0.3522262531108975	Sal41	TM11
TM11P2	0.7441929116431343	Sal41	TM11
TM11N1	0	Sal45	TM11
TM11P1	0.0063244005098286316	Sal45	TM11
TM11P2	0.03835435925389419	Sal45	TM11
TM11N1	0	Sal46	TM11
TM11P1	-0.008174742848972905	Sal46	TM11
TM11P2	-0.004884639073663877	Sal46	TM11
TM11N1	0	Sal52	TM11
TM11P1	-0.1156833178468264	Sal52	TM11
TM11P2	-0.02566891778844127	Sal52	TM11
TM11N1	0	Sal66	TM11
TM11P1	-0.035920333482313715	Sal66	TM11
TM11P2	-0.10654838609362649	Sal66	TM11
TM11N1	0	Sal78	TM11
TM11P1	-0.05073916108264109	Sal78	TM11
TM11P2	0.014694314196444846	Sal78	TM11
TM12N1	0	JF21	TM12
TM12P1	0.06250949578504894	JF21	TM12
TM12P2	0.008432369296796693	JF21	TM12
TM12N1	0	JF27LA	TM12
TM12P1	0.05970057984742061	JF27LA	TM12
TM12P2	0.0168464450156387	JF27LA	TM12
TM12N1	0	JF27UA	TM12
TM12P1	-0.004719767875775993	JF27UA	TM12
TM12P2	-0.015244717657322937	JF27UA	TM12
TM12N1	0	Nax10LA	TM12
TM12P1	-0.003870852496957955	Nax10LA	TM12
TM12P2	-0.0180605975927306	Nax10LA	TM12
TM12N1	0	Nax17	TM12
TM12P1	0.11685695699854204	Nax17	TM12
