a	b	l1	r	marker	divs	subject	tumor_a	tumor_b
TM10N1	TM10P1	0.12448830074912205	NA	26	1319.9358608215593	TM10	N1	P1
TM10N1	TM10P2	0.06105638887088474	NA	26	647.3742248708097	TM10	N1	P2
TM10P1	TM10P2	0.14255108530361169	0.36781572271182233	26	1511.4535933015954	TM10	P1	P2
TM11N1	TM11P1	0.12150266928340878	NA	21	1288.2795363711673	TM11	N1	P1
TM11N1	TM11P2	0.15896425527357122	NA	21	1685.48064245193	TM11	N1	P2
TM11P1	TM11P2	0.07663423032422545	0.9029906445127729	21	812.5443769632105	TM11	P1	P2
TM12N1	TM12P1	0.09338090552393265	NA	25	990.1075456514174	TM12	N1	P1
TM12N1	TM12P2	0.07208648488469423	NA	25	764.3251286049082	TM12	N1	P2
TM12P1	TM12P2	0.03826248626074522	0.9779353279356454	25	405.6929642049597	TM12	P1	P2
TM13N1	TM13P1	0.1378666662362159	NA	9	1461.7852093894985	TM13	N1	P1
TM13N1	TM13P2	0.08545713813213432	NA	9	906.092705137845	TM13	N1	P2
TM13P1	TM13P2	0.110342438275846	0.7793668843524276	9	1169.9488255068475	TM13	P1	P2
TM14N1	TM14P1	0.1586879862597617	NA	24	1682.5513922624211	TM14	N1	P1
TM14N1	TM14P2	0.11998306765801826	NA	24	1272.167366252002	TM14	N1	P2
TM14N1	TM14P3	0.17760030222447254	NA	24	1883.076613530541	TM14	N1	P3
TM14P1	TM14P2	0.08159412434890716	0.8908911200987047	24	865.1335917701942	TM14	P1	P2
TM14P1	TM14P3	0.052816100592871305	0.9682936349422282	24	560.0033479594371	TM14	P1	P3
TM14P2	TM14P3	0.08387811562533225	0.9170581873212553	24	889.3505019008303	TM14	P2	P3
TM15N1	TM15P1	0.11528055637573084	NA	23	1222.3071525607734	TM15	N1	P1
TM15N1	TM15P2	0.05955472453964325	NA	23	631.4522419230567	TM15	N1	P2
TM15P1	TM15P2	0.1067041786337754	0.27116846025001734	23	1131.372755758521	TM15	P1	P2
TM16N1	TM16P1	0.08417433926477909	NA	25	892.4913288072632	TM16	N1	P1
TM16N1	TM16P2	0.10568647766827903	NA	25	1120.582183537132	TM16	N1	P2
TM16P1	TM16P2	0.07846308316740166	0.7733526042031931	25	831.9355039795441	TM16	P1	P2
TM17N1	TM17P1	0.22493787732538428	NA	29	2384.9917538612503	TM17	N1	P1
TM17N1	TM17P2	0.12179635870781426	NA	29	1291.3934932722102	TM17	N1	P2
TM17P1	TM17P2	0.17904753446189406	0.535308210575792	29	1898.4214589305866	TM17	P1	P2
TM18N1	TM18P1	0.13867842939647107	NA	30	1470.3922455468476	TM18	N1	P1
TM18N1	TM18P2	0.0918524537489661	NA	30	973.9015383625843	TM18	N1	P2
TM18P1	TM18P2	0.07554299651825419	0.9009093817820356	30	800.9741440628115	TM18	P1	P2
TM22N1	TM22P1	0.1175462260222529	NA	30	1246.3298004499604	TM22	N1	P1
TM22N1	TM22P2	0.16860711454567165	NA	30	1787.7228264765265	TM22	N1	P2
TM22N1	TM22P3	0.14490167425086334	NA	30	1536.376631264664	TM22	N1	P3
TM22P1	TM22P2	0.10547610026516754	0.7696553563899228	30	1118.3515749016028	TM22	P1	P2
TM22P1	TM22P3	0.08400588126922325	0.7942874979519334	30	890.7051870731545	TM22	P1	P3
TM22P2	TM22P3	0.04463774049039147	0.9772607508715135	30	473.2890887317358	TM22	P2	P3
TM23N1	TM23P1	0.10074130053730153	NA	26	1068.1490103472577	TM23	N1	P1
TM23N1	TM23P2	0.20185796508737688	NA	26	2140.2779643385416	TM23	N1	P2
TM23P1	TM23P2	0.15663732288807927	0.7305114046977064	26	1660.8084324303024	TM23	P1	P2
TM25N1	TM25P1	0.06887222830796748	NA	24	730.2447170644438	TM25	N1	P1
TM25N1	TM25P2	0.042192232276155685	NA	24	447.3596321444165	TM25	N1	P2
TM25P1	TM25P2	0.053191768657737136	0.732837124306818	24	563.9865154345972	TM25	P1	P2
TM26N1	TM26P1	0.11989948749138797	NA	28	1271.2811748707645	TM26	N1	P1
TM26N1	TM26P2	0.09830268651150784	NA	28	1042.2926520872609	TM26	N1	P2
TM26P1	TM26P2	0.054656396204207404	0.9424905219436015	28	579.5158013972127	TM26	P1	P2
TM28N1	TM28P1	0.05391262808706876	NA	24	571.629709258117	TM28	N1	P1
TM28N1	TM28P2	0.05202922767556082	NA	24	551.6602203304361	TM28	N1	P2
