u	mu	n	divs	mean_l1	l1_95	l1_05	exp_l1
40	4e-4	50 tracts	1	NA	NA	NA	4e-4
40	4e-4	50 tracts	2	NA	NA	NA	8e-4
40	4e-4	50 tracts	3	NA	NA	NA	0.0012
40	4e-4	50 tracts	4	NA	NA	NA	0.0016
40	4e-4	50 tracts	5	0.00222	0.015	0	0.002
40	4e-4	50 tracts	6	0.00263	0.016	0	0.0024
40	4e-4	50 tracts	7	0.003055	0.01699999999999999	0	0.0028
40	4e-4	50 tracts	8	0.003491	0.018	0	0.0032
40	4e-4	50 tracts	9	0.003862	0.019	0	0.0036
40	4e-4	50 tracts	10	0.004287	0.02099999999999999	0	0.004
40	4e-4	50 tracts	11	0.00468	0.022	0	0.0044
40	4e-4	50 tracts	12	0.005075	0.023	0	0.0048
40	4e-4	50 tracts	13	0.005515	0.024	0	0.0052
40	4e-4	50 tracts	14	0.005954	0.025	0	0.0056
40	4e-4	50 tracts	15	0.006305	0.026	0	0.006
40	4e-4	50 tracts	16	0.006718	0.02699999999999999	0	0.0064
40	4e-4	50 tracts	17	0.007094	0.02799999999999999	0	0.0068
40	4e-4	50 tracts	18	0.007421	0.02899999999999999	0	0.0072
40	4e-4	50 tracts	19	0.007833	0.03	0	0.0076
40	4e-4	50 tracts	20	0.008166	0.03	0	0.008
40	4e-4	50 tracts	21	0.008534	0.03	0	0.0084
40	4e-4	50 tracts	22	0.008888	0.03	0	0.0088
40	4e-4	50 tracts	23	0.00929	0.031	0	0.0092
40	4e-4	50 tracts	24	0.009671	0.032	0	0.0096
40	4e-4	50 tracts	25	0.010076	0.03299999999999999	0	0.01
40	4e-4	50 tracts	26	0.010532	0.03399999999999999	0	0.0104
40	4e-4	50 tracts	27	0.010878	0.03499999999999999	0	0.0108
40	4e-4	50 tracts	28	0.011348	0.036	0	0.0112
40	4e-4	50 tracts	29	0.011757	0.037	0	0.0116
40	4e-4	50 tracts	30	0.012247	0.038	0	0.012
40	4e-4	50 tracts	31	0.012661	0.039	0	0.0124
40	4e-4	50 tracts	32	0.01308799999999999	0.04	0	0.0128
40	4e-4	50 tracts	33	0.013437	0.04	0	0.0132
40	4e-4	50 tracts	34	0.013798	0.04	0	0.0136
40	4e-4	50 tracts	35	0.01414	0.04	0	0.014
40	4e-4	50 tracts	36	0.014403	0.04	0	0.0144
40	4e-4	50 tracts	37	0.01484999999999999	0.04	0	0.0148
40	4e-4	50 tracts	38	0.015175	0.04	0	0.0152
40	4e-4	50 tracts	39	0.015633	0.04099999999999999	0	0.0156
40	4e-4	50 tracts	40	0.015937	0.04199999999999999	0	0.016
40	4e-4	50 tracts	41	0.016328	0.043	0	0.0164
40	4e-4	50 tracts	42	0.016752	0.044	0	0.0168
40	4e-4	50 tracts	43	0.017068	0.045	0	0.0172
40	4e-4	50 tracts	44	0.017464	0.046	0	0.0176
40	4e-4	50 tracts	45	0.017966	0.047	0	0.018
40	4e-4	50 tracts	46	0.018416	0.048	0	0.0184
40	4e-4	50 tracts	47	0.01884599999999999	0.049	0	0.0188
40	4e-4	50 tracts	48	0.019317	0.05	0	0.0192
40	4e-4	50 tracts	49	0.01961199999999999	0.05	0	0.0196
40	4e-4	50 tracts	50	0.020017	0.051	0	0.02
40	4e-4	50 tracts	51	0.020463	0.052	0	0.0204
40	4e-4	50 tracts	52	0.020848	0.053	0	0.0208
40	4e-4	50 tracts	53	0.021349	0.054	0	0.0212
40	4e-4	50 tracts	54	0.021696	0.05500000000000001	0	0.0216
40	4e-4	50 tracts	55	0.022094	0.05599999999999999	0	0.022
40	4e-4	50 tracts	56	0.022507	0.05699999999999999	0	0.0224
40	4e-4	50 tracts	57	0.02283099999999999	0.05799999999999999	0	0.0228
40	4e-4	50 tracts	58	0.023155	0.059	0	0.0232
40	4e-4	50 tracts	59	0.02361	0.06	0	0.0236
40	4e-4	50 tracts	60	0.024001	0.06	0	0.024
40	4e-4	50 tracts	61	0.024323	0.06	0	0.0244
40	4e-4	50 tracts	62	0.024644	0.06	0	0.0248
40	4e-4	50 tracts	63	0.02496899999999999	0.06	0	0.0252
40	4e-4	50 tracts	64	0.025414	0.06	0	0.0256
40	4e-4	50 tracts	65	0.02576999999999999	0.06	0	0.026
40	4e-4	50 tracts	66	0.026084	0.06	0	0.0264
40	4e-4	50 tracts	67	0.026437	0.06	0	0.0268
40	4e-4	50 tracts	68	0.026914	0.06	0	0.0272
40	4e-4	50 tracts	69	0.02731399999999999	0.061	0	0.0276
40	4e-4	50 tracts	70	0.027722	0.061	0	0.028
40	4e-4	50 tracts	71	0.028139	0.062	0	0.0284
40	4e-4	50 tracts	72	0.028577	0.063	0	0.0288
40	4e-4	50 tracts	73	0.029115	0.064	0	0.0292
40	4e-4	50 tracts	74	0.029582	0.065	0	0.0296
40	4e-4	50 tracts	75	0.03003	0.066	0.001	0.03
40	4e-4	50 tracts	76	0.030448	0.067	0.001	0.0304
40	4e-4	50 tracts	77	0.030844	0.068	0.001	0.0308
40	4e-4	50 tracts	78	0.03108799999999999	0.069	0.001	0.0312
40	4e-4	50 tracts	79	0.0315	0.07	0.001	0.0316
40	4e-4	50 tracts	80	0.03183	0.07100000000000001	0.001	0.032
40	4e-4	50 tracts	81	0.032147	0.07100000000000001	0.001	0.0324
40	4e-4	50 tracts	82	0.032615	0.07200000000000001	0.001	0.0328
40	4e-4	50 tracts	83	0.032856	0.07200000000000001	0.001	0.0332
40	4e-4	50 tracts	84	0.033143	0.07200000000000001	0.001	0.0336
40	4e-4	50 tracts	85	0.033503	0.07300000000000001	0	0.034
40	4e-4	50 tracts	86	0.033961	0.074	0	0.0344
40	4e-4	50 tracts	87	0.034387	0.075	0	0.0348
40	4e-4	50 tracts	88	0.034874	0.076	0.001	0.0352
40	4e-4	50 tracts	89	0.035263	0.076	0.002	0.0356
40	4e-4	50 tracts	90	0.03577699999999999	0.077	0.003	0.036
40	4e-4	50 tracts	91	0.03622	0.078	0.004	0.0364
40	4e-4	50 tracts	92	0.036568	0.07802499999999998	0.004975	0.0368
40	4e-4	50 tracts	93	0.037068	0.07902499999999998	0.00595	0.0372
40	4e-4	50 tracts	94	0.03755299999999999	0.08002499999999999	0.00695	0.0376
40	4e-4	50 tracts	95	0.037795	0.08002499999999999	0.00795	0.038
40	4e-4	50 tracts	96	0.038159	0.08102499999999999	0.00895	0.0384
40	4e-4	50 tracts	97	0.03852	0.08102499999999999	0.00995	0.0388
40	4e-4	50 tracts	98	0.038803	0.08102499999999999	0.00995	0.0392
40	4e-4	50 tracts	99	0.039026	0.08202499999999999	0.00995	0.0396
40	4e-4	50 tracts	100	0.039411	0.08302499999999997	0.00995	0.04
40	4e-4	50 tracts	101	0.039748	0.08402499999999997	0.00995	0.0404
40	4e-4	50 tracts	102	0.040121	0.08499999999999999	0.009975	0.0408
40	4e-4	50 tracts	103	0.040443	0.08499999999999999	0.01	0.0412
40	4e-4	50 tracts	104	0.040921	0.086	0.01	0.0416
40	4e-4	50 tracts	105	0.041542	0.087	0.01	0.042
40	4e-4	50 tracts	106	0.041947	0.087	0.01	0.0424
40	4e-4	50 tracts	107	0.042342	0.088	0.01	0.0428
40	4e-4	50 tracts	108	0.042789	0.089	0.01	0.0432
40	4e-4	50 tracts	109	0.043354	0.089	0.01	0.0436
40	4e-4	50 tracts	110	0.04355499999999999	0.089	0.01	0.044
40	4e-4	50 tracts	111	0.043914	0.089	0.01	0.0444
40	4e-4	50 tracts	112	0.04423	0.089	0.01	0.0448
40	4e-4	50 tracts	113	0.044577	0.09	0.01	0.0452
40	4e-4	50 tracts	114	0.044826	0.09	0.01	0.0456
40	4e-4	50 tracts	115	0.044854	0.09	0.01	0.046
40	4e-4	50 tracts	116	0.045253	0.091	0.01	0.0464
40	4e-4	50 tracts	117	0.045465	0.091	0.01	0.0468
40	4e-4	50 tracts	118	0.045826	0.092	0.01	0.0472
40	4e-4	50 tracts	119	0.046058	0.092	0.01	0.0476
40	4e-4	50 tracts	120	0.046485	0.092	0.01	0.048
40	4e-4	50 tracts	121	0.046959	0.093	0.01	0.0484
40	4e-4	50 tracts	122	0.047462	0.094	0.01	0.0488
40	4e-4	50 tracts	123	0.047796	0.095	0.01	0.0492
40	4e-4	50 tracts	124	0.048152	0.096	0.01	0.0496
40	4e-4	50 tracts	125	0.048831	0.097	0.01	0.05
40	4e-4	50 tracts	126	0.049072	0.097	0.01	0.0504
40	4e-4	50 tracts	127	0.04968	0.098	0.011	0.0508
40	4e-4	50 tracts	128	0.05005	0.098	0.011	0.0512
40	4e-4	50 tracts	129	0.050473	0.099	0.011	0.0516
40	4e-4	50 tracts	130	0.05092999999999999	0.1	0.011	0.052
40	4e-4	50 tracts	131	0.051266	0.1	0.011	0.0524
40	4e-4	50 tracts	132	0.051447	0.1	0.011	0.0528
40	4e-4	50 tracts	133	0.05194999999999999	0.1	0.011	0.0532
40	4e-4	50 tracts	134	0.05239	0.101	0.011	0.0536
40	4e-4	50 tracts	135	0.052674	0.101	0.011	0.054
40	4e-4	50 tracts	136	0.053127	0.101	0.011	0.0544
40	4e-4	50 tracts	137	0.053374	0.101	0.01	0.0548
40	4e-4	50 tracts	138	0.053875	0.101	0.011	0.0552
40	4e-4	50 tracts	139	0.054305	0.102	0.012	0.0556
40	4e-4	50 tracts	140	0.05461900000000001	0.103	0.013	0.056
40	4e-4	50 tracts	141	0.055005	0.104	0.013	0.0564
40	4e-4	50 tracts	142	0.055644	0.105	0.014	0.0568
40	4e-4	50 tracts	143	0.055882	0.105	0.015	0.0572
40	4e-4	50 tracts	144	0.05628	0.105	0.016	0.0576
40	4e-4	50 tracts	145	0.056711	0.106	0.017	0.058
40	4e-4	50 tracts	146	0.057101	0.107	0.018	0.0584
40	4e-4	50 tracts	147	0.057479	0.108	0.019	0.0588
