segment	Chromosome	sample	arm	arm_start	arm_end	seg_start	seg_end	n_bins	global_start_mb	seg_length	logR	BAF	germline_copies	na	nb	segTCN	segBAF	sample_chr
1	1	LN1	p	0	1.25e+08	750000	1750000	1	0	1e+06	-0.0113531177280085	0.5	2	0.968304776593921	0.96830477659392	1.93660955318784	0.5	LN1_1
2	1	LN1	p	0	1.25e+08	1750000	120750000	197	0	1.19e+08	-0.0113531177280085	0.5	2	0.968304776593921	0.96830477659392	1.93660955318784	0.5	LN1_1
3	1	LN1	q	1.25e+08	249250621	146250000	157250000	13	0	1.1e+07	0.22163010351821	0.386754180547624	2	2.18056244196436	0.7186185765947	2.89918101855906	0.247869509352632	LN1_1
4	1	LN1	q	1.25e+08	249250621	157250000	179750000	40	0	22500000	0.00386125997299073	0.318497219292088	2	2.00482904040702	-0.00999371677113608	1.99483532363589	-0.00500979537144	LN1_1
5	1	LN1	q	1.25e+08	249250621	179250000	248750000	116	0	69500000	0.262145783202886	0.394912210611648	2	2.23914374122192	0.843877103946409	3.08302084516833	0.273717612149435	LN1_1
26	10	LN1	p	0	40200000	750000	37750000	62	1680.373143	3.7e+07	-0.0103292242453331	0.427129243030668	2	1.37075675563827	0.569752019394095	1.94050877503236	0.293609607297237	LN1_10
27	10	LN1	q	40200000	135534747	43250000	134250000	147	1680.373143	9.1e+07	-0.0210039342649756	0.5	2	0.949996337189172	0.949996337189173	1.89999267437834	0.5	LN1_10
28	11	LN1	p	0	53700000	250000	48250000	82	1815.90789	4.8e+07	-0.00271527326034749	0.41381422595333	2	1.46098477729561	0.50860664012114	1.96959141741675	0.258229516854928	LN1_11
29	11	LN1	q	53700000	135006516	55250000	134750000	133	1815.90789	79500000	-0.0127443584020691	0.43311616710744	2	1.33264089903013	0.598674922459597	1.93131582148973	0.309982922419082	LN1_11
30	12	LN1	p	0	35800000	750000	34250000	56	1950.914406	33500000	0.0318676168633015	0.5	2	1.051817530208	1.051817530208	2.10363506041601	0.5	LN1_12
31	12	LN1	q	35800000	133851895	38750000	73250000	55	1950.914406	34500000	0.0456025904716388	0.5	2	1.07888493243097	1.07888493243097	2.15776986486194	0.5	LN1_12
32	12	LN1	q	35800000	133851895	72750000	108750000	61	1950.914406	3.6e+07	-0.260228517285207	0.369157946484903	2	1.13793849795084	-0.0715506375878811	1.06638786036296	-0.0670962604202264	LN1_12
33	12	LN1	q	35800000	133851895	108250000	133750000	41	1950.914406	25500000	-0.0774826578303051	0.5	2	0.845272493117362	0.845272493117362	1.69054498623472	0.5	LN1_12
34	13	LN1	q	17900000	115169878	19750000	27250000	10	2084.766301	7500000	-0.308556037676852	0.371148373623882	2	1.03298879183252	-0.118862705936504	0.914126085896014	-0.130028786805703	LN1_13
35	13	LN1	q	17900000	115169878	26750000	94750000	122	2084.766301	6.8e+07	0.000421293032835104	0.5	2	0.990808359168719	0.990808359168719	1.98161671833744	0.5	LN1_13
36	13	LN1	q	17900000	115169878	95250000	115169878	34	2084.766301	19919878	0.00269694444638191	0.437297904539193	2	1.3429192503675	0.647438481621538	1.99035773198904	0.325287495416479	LN1_13
37	14	LN1	q	17600000	107349540	20250000	82250000	111	2199.936179	6.2e+07	-0.0135601626345943	0.5	2	0.964107012108294	0.964107012108294	1.92821402421659	0.5	LN1_14
38	14	LN1	q	17600000	107349540	81750000	106250000	39	2199.936179	24500000	-0.0183125974299626	0.5	2	0.955089728813995	0.955089728813993	1.91017945762799	0.5	LN1_14
39	15	LN1	q	1.9e+07	102531392	21750000	53250000	46	2307.285719	31500000	0.0372169233716102	0.359585503362282	2	1.85991299313657	0.264744485230163	2.12465747836673	0.124605724887796	LN1_15
40	15	LN1	q	1.9e+07	102531392	53250000	102531392	88	2307.285719	49281392	0.236988238655143	0.5	2	1.48413081309263	1.48413081309263	2.96826162618526	0.5	LN1_15
41	16	LN1	p	0	36600000	250000	32250000	42	2409.817111	3.2e+07	-0.0990238015377743	0.5	2	0.806398191309404	0.806398191309404	1.61279638261881	0.5	LN1_16
42	16	LN1	q	36600000	90354753	46750000	90250000	76	2409.817111	43500000	-0.0381733480365964	0.5	2	0.917725692584162	0.917725692584162	1.83545138516832	0.5	LN1_16
43	17	LN1	p	0	2.4e+07	250000	18250000	32	2500.171864	1.8e+07	-0.0822993812437146	0.40125613833917	2	1.35282311983393	0.320235926066082	1.67305904590001	0.191407426325359	LN1_17
44	17	LN1	q	2.4e+07	81195210	25750000	81195210	88	2500.171864	55445210	-0.00155061987087817	0.5	2	0.987026768991128	0.987026768991127	1.97405353798225	0.5	LN1_17
45	18	LN1	p	0	17200000	250000	14250000	24	2581.367074	1.4e+07	0.227730743368969	0.28543025999183	2	2.85412696739139	0.0724066082219865	2.92653357561338	0.0247414240606519	LN1_18
46	18	LN1	q	17200000	78077248	18750000	78077248	103	2581.367074	59327248	-0.000357572013227322	0.5	2	0.989314091191724	0.989314091191723	1.97862818238345	0.5	LN1_18
47	19	LN1	p	0	26500000	750000	20250000	34	2659.444322	19500000	-0.0514472793138452	0.5	2	0.893038680630365	0.893038680630364	1.78607736126073	0.5	LN1_19
48	19	LN1	q	26500000	59128983	28250000	59128983	45	2659.444322	30878983	-0.107994651545507	0.5	2	0.790379331813129	0.790379331813128	1.58075866362626	0.5	LN1_19
6	2	LN1	p	0	93300000	750000	89250000	152	249.250621	88500000	-0.00100154153975681	0.5	2	0.988079232018569	0.988079232018568	1.97615846403714	0.5	LN1_2
7	2	LN1	q	93300000	243199373	96250000	243199373	233	249.250621	146949373	0.00523428987355891	0.5	2	1.00006010530021	1.00006010530021	2.00012021060042	0.5	LN1_2
49	20	LN1	p	0	27500000	750000	25750000	45	2718.573305	2.5e+07	-0.022991339922714	0.5	2	0.946241239093418	0.946241239093418	1.89248247818684	0.5	LN1_20
